Song,Artist,Genre,Year,Album,Duration (seconds),Streams
Marry The Night,Lady Gaga,dance pop,2011,Born This Way ,265,90486561
1+1,Beyoncé,dance pop,2011,4,274,109630417
Hold It Against Me,Britney Spears,dance pop,2011,Femme Fatale ,229,131990557
I'm Into You,Jennifer Lopez,dance pop,2011,Love?,200,309533440
Papi,Jennifer Lopez,dance pop,2011,Love?,223,438407369
Cheers,Rihanna,barbadian pop,2011,Loud,262,165885370
S&M Remix,Rihanna,barbadian pop,2011,Loud,257,17648766
Written in the Stars,Tinie Tempah,dance pop,2011,Disc-Overy,220,255867606
Jar of Hearts,Christina Perri,dance pop,2011,lovestrong.,247,393072040
Castle Walls,T.I.,atl hip hop,2011,No Mercy,329,5286533
Turning Page,Sleeping At Last,acoustic pop,2011,Turning Page,255,11200107
Super Bass,Nicki Minaj,dance pop,2011,Pink Friday ,201,885317765
Raise Your Glass,P!nk,dance pop,2011,Raise Your Glass,208,220963279
Invading My Mind,Jennifer Lopez,dance pop,2011,Love?,201,325239
Moment 4 Life,Nicki Minaj,dance pop,2011,Once Upon a Time in 2010,279,43619367
Last Friday Night,Katy Perry,dance pop,2011,Teenage Dream,231,1334954229
Firework,Katy Perry,dance pop,2011,Teenage Dream,228,1306218079
Muny,Nicki Minaj,dance pop,2011,Pink Friday,227,2022841
Titanium,David Guetta,dance pop,2012,Nothing but the Beat,245,1442515617
Locked Out of Heaven,Bruno Mars,pop,2012,Unorthodox Jukebox,233,724898033
Paradise,Coldplay,permanent wave,2012,Mylo Xyloto,279,1435303703
Payphone,Maroon 5,pop,2012,Overexposed,231,661366964
What Makes You Beautiful,One Direction,boy band,2012,Up All Night,200,1257030815
I Knew You Were Trouble.,Taylor Swift,pop,2012,Swiftly,220,471986472
Call Me Maybe,Carly Rae Jepsen,canadian pop,2012,Kiss,193,1348818921
Love You Like A Love Song,Selena Gomez & The Scene,dance pop,2012,When the Sun Goes Down,188,608031573
Set Fire to the Rain,Adele,british soul,2012,Live at the Royal Album Hall,242,637264061
We Are Never Ever Getting Back Together,Taylor Swift,pop,2012,Red,193,6515025699
Stronger,Kelly Clarkson,dance pop,2012,Stronger,222,388403151
Try,P!nk,dance pop,2012,The Truth About Love,248,465411726
Starships,Nicki Minaj,dance pop,2012,Pink Friday: Roman Reloaded,211,402995506
One More Night,Maroon 5,pop,2012,Overexposed,220,921666592
Good Time,Owl City,pop,2012,The Midsummer Station,206,381434156
Glad You Came,The Wanted,boy band,2012,The Wanted,198,204654930
Beauty And A Beat,Justin Bieber,canadian pop,2012,The Best,228,956439186
International Love,Pitbull,dance pop,2012,Global Warming,227,774368733
Some Nights,fun.,baroque pop,2012,Some Nights,277,220227144
Boyfriend,Justin Bieber,canadian pop,2012,Boyfriend,171,822410974
Part Of Me,Katy Perry,dance pop,2012,Teenage Dream,216,869815986
Domino,Jessie J,australian pop,2012,Who You Are,232,320637069
Where Have You Been,Rihanna,barbadian pop,2012,Talk That Talk,243,527310343
Wide Awake,Katy Perry,dance pop,2012,Teenage Dream,221,958150630
The One That Got Away,Katy Perry,dance pop,2012,Teenage Dream,227,827525404
Dance Again,Jennifer Lopez,dance pop,2012,Dance Again,237,526031856
Turn Up the Music,Chris Brown,dance pop,2012,Berlin Tag & Nacht,228,279558650
Lights,Ellie Goulding,dance pop,2012,Brigth Lights ,211,179887687
We Are Young,fun.,baroque pop,2012,Some Nights,251,887499531
Diamonds,Rihanna,barbadian pop,2012,Unapologetic,225,1713279938
Don't Stop the Party,Pitbull,dance pop,2012,Global Warming,206,172689096
You Da One,Rihanna,barbadian pop,2012,Talk That Talk,200,241352531
Stereo Hearts,Gym Class Heroes,dance pop,2012,The Papercut Chronicles ll,211,533088049
It Will Rain,Bruno Mars,pop,2012,Twilight Saga Original ,258,673880025
Blow Me,P!nk,dance pop,2012,Absolute Music 70,256,107437660
Underneath the Tree,Kelly Clarkson,dance pop,2013,Wrapped in Red,230,24910675
Wake Me Up,Avicii,big room,2013,True ,247,2051405767
Story of My Life,One Direction,boy band,2013,Midnight Memories,245,894509923
Just Give Me a Reason,P!nk,dance pop,2013,The Truth About Love,243,1279248182
Hall of Fame,The Script,celtic rock,2013,#3,203,475139026
Roar,Katy Perry,dance pop,2013,Prism,224,3332962955
We Can't Stop,Miley Cyrus,dance pop,2013,The Dome: Summer 2013,231,914972663
Don't You Worry Child,Swedish House Mafia,big room,2013,Until Now,213,752714960
Get Lucky,Daft Punk,electro,2013,Random Access Memories,248,562374687
Wrecking Ball,Miley Cyrus,dance pop,2013,Bangerz,221,1116161880
Impossible,James Arthur,pop,2013,Europa FM 2013,209,221789972
Blurred Lines,Robin Thicke,dance pop,2013,NRJ Hit List 2013,264,734795669
Heart Attack,Demi Lovato,dance pop,2013,Demi,211,616672080
We Are Never Ever Getting Back Together,Taylor Swift,pop,2013,Red,193,651503307
Die Young,Kesha,dance pop,2013,Absoulute Music 71,212,166571577
Clarity,Zedd,complextro,2013,Clarity,271,294533716
Summertime Sadness,Lana Del Rey,art pop,2013,Born to Die: The Paradise Edition,215,285752880
Under Control,Calvin Harris,dance pop,2013,Club Sounds: The Ultimate Club,184,253429802
Everybody Talks,Neon Trees,indie pop,2013,Picture Show,177,39736183
"Hold On, We're Going Home",Drake,canadian hip hop,2013,Nothing Was the Same,228,165929076
Best Song Ever,One Direction,boy band,2013,Midnight Memories,200,721700323
Kiss You,One Direction,boy band,2013,Take Me Home,183,513888021
Sweet Nothing,Calvin Harris,dance pop,2013,18 Months,213,327702759
Lose Yourself to Dance,Daft Punk,electro,2013,Random Access Memories,354,171197572
Work Bitch,Britney Spears,dance pop,2013,Britney Jean ,248,353680875
Brave,Sara Bareilles,acoustic pop,2013,The Blessed Unrest,221,118013352
Can't Hold Us,Macklemore & Ryan Lewis,dance pop,2013,The Heist ,258,879406872
Feel This Moment,Pitbull,dance pop,2013,Global Warming,230,608960206
Beneath Your Beautiful,Labrinth,pop,2013,Electronic Earth,272,282010497
Let Me Love You,Ne-Yo,dance pop,2013,R.E.D.,252,147315004
Thrift Shop,Macklemore & Ryan Lewis,dance pop,2013,The Heist,236,1558989808
If I Lose Myself,OneRepublic,dance pop,2013,Native,215,93521504
The Way,Ariana Grande,dance pop,2013,Now That's What I Call Music! 46,227,419925624
Suit & Tie,Justin Timberlake,dance pop,2013,The 20/20 Experience,326,156381292
#thatPOWER,will.i.am,dance pop,2013,willpower,280,295810952
I Love It,Icona Pop,candy pop,2013,Bad Moms,157,174643958
Play Hard,David Guetta,dance pop,2013,Nothing but the Beat,209,1047883778
Daylight,Maroon 5,pop,2013,Overexposed,225,35161948
Love Somebody,Maroon 5,pop,2013,Overexposed,230,151545726
A Little Party Never Killed Nobody,Fergie,dance pop,2013,The Great Gatsby: Music from Baz ,241,84688264
Move,Little Mix,dance pop,2013,Salute,224,197828995
Walks Like Rihanna,The Wanted,boy band,2013,Word of Mouth,202,10183031
Rock N Roll,Avril Lavigne,canadian pop,2013,Avril Lavigne,207,107840255
Heartbreaker,Justin Bieber,canadian pop,2013,Journals,263,60176824
Mirrors,Justin Timberlake,dance pop,2013,The 20/20 Experience,277,839952317
Next To Me,Emeli Sandé,dance pop,2013,Our Version of Events,197,85793461
Made In The USA,Demi Lovato,dance pop,2013,Demi,196,180609686
Clown,Emeli Sandé,dance pop,2013,Our Version of Events,221,47182006
Girl On Fire,Alicia Keys,hip pop,2013,Girl on Fire,271,336170690
TKO,Justin Timberlake,dance pop,2013,The 20/20 Experience,424,113329377
Come & Get It,Selena Gomez,dance pop,2013,Star Dance,232,704307396
Live It Up,Jennifer Lopez,dance pop,2013,Live It Up,244,267911809
We Own The Night,The Wanted,boy band,2013,Word of Mouth,206,50416506
Atlas ,Coldplay,permanent wave,2013,The Hunger Games: Catching Fire,236,23685088
What About Love,Austin Mahone,dance pop,2013,The Secret,203,160116956
Take Back the Night,Justin Timberlake,dance pop,2013,The 20/20 Experience ,353,31192813
Applause,Lady Gaga,dance pop,2013,Artpop,212,381435102
Anything Could Happen,Ellie Goulding,dance pop,2013,Halcyon Days,286,74782154
Finally Found You,Enrique Iglesias,dance pop,2013,Sex and Love,221,119868039
Pom Poms,Jonas Brothers,boy band,2013,Pom Poms,198,30260203
#Beautiful,Mariah Carey,dance pop,2013,Me. I am Mariah... The Elusive Chanteuse,200,57124502
How Ya Doin'? ,Little Mix,dance pop,2013,DNA,211,11559328
Crazy Kids ,Kesha,dance pop,2013,Crazy Kids,229,66772327
Ooh La La ,Britney Spears,dance pop,2013,Ooh La La ,257,13841907
People Like Us,Kelly Clarkson,dance pop,2013,People Like Us,259,24230368
Overdose,Ciara,dance pop,2013,Ciara,227,1218569
Right Now ,Rihanna,barbadian pop,2013,Right Now ,186,22431419
Give It 2 U,Robin Thicke,dance pop,2013,Blurred Lines ,230,25267336
Foolish Games,Jewel,alaska indie,2013,Foolish Games,250,3400318
Outta Nowhere ,Pitbull,dance pop,2013,Global Warming: Meltdown ,207,13790298
Freak,Kelly Rowland,atl hip hop,2013,Talk A Good Game ,274,1558466
All of Me,John Legend,neo mellow,2014,Love In The Future ,270,1456935263
Stay With Me,Sam Smith,pop,2014,In The Lonely Hour,173,1333297522
Summer,Calvin Harris,dance pop,2014,Motion,223,837606910
Happy ,Pharrell Williams,dance pop,2014,GIRL,233,890620997
Rude,MAGIC!,pop,2014,Don't Kill the Magic,225,842746197
Shake It Off,Taylor Swift,pop,2014,1989,219,564664206
Dark Horse,Katy Perry,dance pop,2014,PRISM,216,777353556
Hey Brother,Avicii,big room,2014,True ,255,630536185
Maps,Maroon 5,pop,2014,V ,190,753764201
Treasure,Bruno Mars,pop,2014,Unorthodox Jukebox,179,533473445
Let Her Go,Passenger,folk-pop,2014,All The Little Lights,253,1346638638
Problem,Ariana Grande,dance pop,2014,,194,606426720
Pompeii,Bastille,metropopolis,2014,Bad Blood,214,872469403
Team,Lorde,art pop,2014,Pure Heroine,193,464502175
Love Me Again,John Newman,pop,2014,Tribute,240,374007755
Latch,Disclosure,house,2014,Settle,256,620998647
Adore You,Miley Cyrus,dance pop,2014,Bangerz ,279,249885874
Love Never Felt So Good,Michael Jackson,pop,2014,XSCAPE,246,226902761
Burn,Ellie Goulding,dance pop,2014,Halcyon Days,231,519214123
She Looks So Perfect,5 Seconds of Summer,boy band,2014,5 Seconds Of Summer,202,340050962
Fancy,Iggy Azalea,australian hip hop,2014,The New Classic ,200,512342904
Talk Dirty ,Jason Derulo,dance pop,2014,Tattoos,178,458095302
Gorilla,Bruno Mars,pop,2014,Unorthodox Jukebox,244,166486598
human,Christina Perri,dance pop,2014,head or heart,251,307802084
Young Girls,Bruno Mars,pop,2014,Unorthodox Jukebox,229,164512344
Wiggle ,Jason Derulo,dance pop,2014,Tattoos ,193,361950992
Love Runs Out,OneRepublic,dance pop,2014,Native,225,216199701
This Is How We Do,Katy Perry,dance pop,2014,PRISM,204,211262581
Mmm Yeah ,Austin Mahone,dance pop,2014,The Secret,232,112734229
A Little Party Never Killed Nobody ,Fergie,dance pop,2014,Music From Baz Luhrmann's Film,241,177319876
#SELFIE,The Chainsmokers,electropop,2014,#SELFIE,184,198430270
Partition,Beyoncé,dance pop,2014,BEYONCE ,319,335702633
Birthday,Katy Perry,dance pop,2014,PRISM ,215,143229006
G.U.Y.,Lady Gaga,dance pop,2014,ARTPOP,233,74570456
Stay The Night,Zedd,complextro,2014,Clarity,217,213873248
Let It Go ,Demi Lovato,dance pop,2014,Demi ,226,160871932
Wings,Birdy,neo mellow,2014,Fire Within,252,159411953
Can't Remember to Forget You,Shakira,colombian pop,2014,Shakira.,207,231412330
Shot Me Down ,David Guetta,dance pop,2014,Listen,191,196955450
Say Something,A Great Big World,neo mellow,2014,Is There Anybody Out There?,229,739214335
A Sky Full of Stars,Coldplay,permanent wave,2014, ,268,737467424
Come Get It Bae,Pharrell Williams,dance pop,2014,GIRL,202,93921761
Chandelier,Sia,australian dance,2014,1000 Forms Of Fear,216,1120850609
XO,Beyoncé,dance pop,2014,BEYONCE ,216,196244288
We Are One ,Pitbull,dance pop,2014,Globalization,222,140780269
Not About Angels,Birdy,neo mellow,2014,Not About Angels,190,266499095
Drunk in Love,Beyoncé,dance pop,2014,BEYONCE ,323,445043923
Anaconda,Nicki Minaj,dance pop,2014,The Pinkprint ,260,306084738
Boom Clap ,Charli XCX,candy pop,2014,Boom Clap - From the Motion Picture ,169,303220073
La La La ,Shakira,colombian pop,2014,The 2014 FIFA World Cup,198,54394145
Tee Shirt ,Birdy,neo mellow,2014,Tee shirt,160,133011854
Words as Weapons,Birdy,neo mellow,2014,Fire Within ,239,11430083
You're Mine,Mariah Carey,dance pop,2014,Me. I am Mariah... The Elusice Chanteuse ,224,7958673
Sheezus,Lily Allen,dance pop,2014,Sheezus,235,10774611
Cannonball,Lea Michele,hollywood,2014,Louder,215,13679131
It's On Again,Alicia Keys,hip pop,2014,It's On Again ,230,20659154
I Luh Ya Papi,Jennifer Lopez,dance pop,2014,A.K.A,207,28052190
Not a Bad Thing,Justin Timberlake,dance pop,2014,The 20/20 Experience ,266,32260916
Thinking out Loud,Ed Sheeran,pop,2015,x ,282,1749215792
I'm Not The Only One,Sam Smith,pop,2015,In the Lonely Hour,239,1036685119
The Hills,The Weeknd,canadian contemporary r&b,2015,Beauty Behind The Madness,242,1215174098
Love Yourself,Justin Bieber,canadian pop,2015,Purpose ,234,1553107153
Uptown Funk,Mark Ronson,dance pop,2015,Uptown Special,270,1297701610
Take Me To Church,Hozier,irish singer-songwriter,2015,Hozier,242,1403086522
Sugar,Maroon 5,pop,2015,V ,235,1147229954
Sorry,Justin Bieber,canadian pop,2015,Purpose ,201,1444238108
FourFiveSeconds,Rihanna,barbadian pop,2015,FourFiveSeconds,188,769775617
Love Me Like You Do ,Ellie Goulding,dance pop,2015,Delirium ,253,1053710438
Earned It ,The Weeknd,canadian contemporary r&b,2015,Earned It ,252,943784496
What Do You Mean?,Justin Bieber,canadian pop,2015,Purpose ,206,1183152774
Stitches,Shawn Mendes,canadian pop,2015,Stitches,207,1345141348
Want to Want Me,Jason Derulo,dance pop,2015,Everything Is 4,208,781207878
My House,Flo Rida,dance pop,2015,My House,192,743058947
Waves,Mr. Probz,tropical house,2015,,208,668683848
Night Changes,One Direction,boy band,2015,FOUR ,227,434008957
How Deep Is Your Love,Calvin Harris,dance pop,2015,,213,774058896
Never Forget You,Zara Larsson,dance pop,2015,So Good,213,756112182
Love Me Harder,Ariana Grande,dance pop,2015,My Everything,236,537630121
Animals,Maroon 5,pop,2015,V ,231,702203804
Blame,Calvin Harris,dance pop,2015,Motion,213,621710871
Worth It,Fifth Harmony,dance pop,2015,Reflection,225,608431073
Break Free,Ariana Grande,dance pop,2015,My Everything ,215,607637648
Don't,Ed Sheeran,pop,2015,x ,220,577927745
Elastic Heart,Sia,australian dance,2015,1000 Forms Of Fear,257,601670023
Rather Be ,Clean Bandit,dance pop,2015,Rather Be ,228,896100371
Hello,Adele,british soul,2015,25,295,1123625706
Dear Future Husband,Meghan Trainor,dance pop,2015,Title ,184,313217480
43776,Beyoncé,dance pop,2015,,214,
The Heart Wants What It Wants,Selena Gomez,dance pop,2015,The Heart Wants What It Wants,227,352176249
Hey Mama ,David Guetta,dance pop,2015,Listen,193,548732991
Genie In a Bottle,Christina Aguilera,dance pop,2015,Christina Aguilera ,218,207041638
Company,Justin Bieber,canadian pop,2015,Purpose ,208,385899844
Sing,Ed Sheeran,pop,2015,x ,235,435724123
Jealous,Nick Jonas,dance pop,2015,Nick Jonas X2,222,381662008
Really Don't Care,Demi Lovato,dance pop,2015,Demi,202,197147970
Downtown,Macklemore & Ryan Lewis,dance pop,2015,This Unruly Mess I've Made,293,318444433
Only Love Can Hurt Like This,Paloma Faith,british soul,2015,A Perfect Contradiction,233,132244501
Heartbeat Song,Kelly Clarkson,dance pop,2015,Piece By Piece ,199,191980158
Up,Olly Murs,dance pop,2015,Never Been Better,224,186314380
Trumpets,Jason Derulo,dance pop,2015,Tattoos,217,502565414
Runnin' ,Naughty Boy,tropical house,2015,,213,193047083
Same Old Love,Selena Gomez,dance pop,2015,Revival ,229,450549716
I Want You To Know,Zedd,complextro,2015,True Colors,240,267239177
Lips Are Movin,Meghan Trainor,dance pop,2015,Title ,183,305180294
I'll Show You,Justin Bieber,canadian pop,2015,Purpose ,200,306197839
Here,Alessia Cara,canadian contemporary r&b,2015,Know-It-All,199,3760164
I Lived,OneRepublic,dance pop,2015,Native,235,236552260
Fireball ,Pitbull,dance pop,2015,Fireball ,235,305761989
Easy Love,Sigala,dance pop,2015,Brighter Days,230,287067307
The Feeling,Justin Bieber,canadian pop,2015,Purpose ,245,211786303
I Really Like You,Carly Rae Jepsen,canadian pop,2015,Emotion,205,358397870
BO$$,Fifth Harmony,dance pop,2015,Reflection ,171,159299213
Sugar,Maroon 5,pop,2015,V ,235,1147229954
Focus,Ariana Grande,dance pop,2015,Focus,211,262672212
All About That Bass,Meghan Trainor,dance pop,2015,Title ,189,578005584
On My Mind,Ellie Goulding,dance pop,2015,Delirium ,213,419662750
Love Me Like You,Little Mix,dance pop,2015,Get Werid ,198,123369192
Broken Arrows,Avicii,big room,2015,Stories,233,134854492
Booty,Jennifer Lopez,dance pop,2015,Booty,210,89764749
What Do You Mean? ,Justin Bieber,canadian pop,2015,Purpose ,204,152772703
Mark My Words,Justin Bieber,canadian pop,2015,Purpose ,134,147970890
Lay It All on Me,Rudimental,dance pop,2015,We the Generation,242,364785201
American Oxygen,Rihanna,barbadian pop,2015,American Oxygen,320,129436611
Bang Bang,Jessie J,australian pop,2015,Sweet Talker ,199,899327443
Reality - Radio Edit,Lost Frequencies,belgian edm,2015,Less Is More,159,397257141
Alive,Sia,australian dance,2015,Alive,264,238543055
Sugar ,Robin Schulz,dance pop,2015,Sugar,219,868515935
Been You,Justin Bieber,canadian pop,2015,Purpose ,199,99977329
Prayer in C,Lilly Wood and The Prick,french indie pop,2015,Prayer in C ,189,707474425
See You Again ,Wiz Khalifa,hip hop,2015,See You Again ,230,1188783297
Heroes ,Alesso,big room,2015,Forever,210,509247407
Feel The Light,Jennifer Lopez,dance pop,2015,Feel The Light,292,28092681
Perfect,One Direction,boy band,2015,Made In The A.M. ,230,1700105555
Ghosttown,Madonna,dance pop,2015,Rebel Heart ,250,399228201
Bang My Head ,David Guetta,dance pop,2015,Listen Again,193,399228201
Bloodstream,Ed Sheeran,pop,2015,x ,309,246145879
Living For Love,Madonna,dance pop,2015,Rebel Heart ,219,31083546
Baby Don't Lie,Gwen Stefani,dance pop,2015,Baby Don't Lie,203,44112874
Don't Be so Hard on Yourself,Jess Glynne,dance pop,2015,I Cry When I Laugh,211,189595798
Steal My Girl,One Direction,boy band,2015,FOUR,227,395047929
Celebrate ,Pitbull,dance pop,2015,Globalization,193,19803668
We Are Here,Alicia Keys,hip pop,2015,We Are Here,285,17865771
St Jude,Florence + The Machine,art pop,2015,"How Big, How Blue, How Beautiful ",225,30261299
Yesterday ,David Guetta,dance pop,2015,Listen,243,31917400
Time of Our Lives,Pitbull,dance pop,2015,Globalization,229,705208049
Sparks,Hilary Duff,dance pop,2015,Breathe In. Breathe Out.,186,58185697
Mr. Put It Down,Ricky Martin,dance pop,2015,Mr. Put It Down,196,15552832
Legendary Lovers,Katy Perry,dance pop,2015,PRISM ,224,42535074
Spark The Fire,Gwen Stefani,dance pop,2015,Spark The Fire,202,5006864
Run Run Run,Kelly Clarkson,dance pop,2015,Piece By Piece ,273,19591927
Let Me Be Your Lover,Enrique Iglesias,dance pop,2015,SEX AND LOVE ,238,8284040
Dangerous,Jennifer Hudson,dance pop,2015,JHUD,255,4342156
L.A.LOVE ,Fergie,dance pop,2015,Double Dutchess,193,40265193
The Hills,The Weeknd,canadian contemporary r&b,2016,Beauty Behind The Madness,242,1215174098
Love Yourself,Justin Bieber,canadian pop,2016,Purpose ,234,1552107153
Cake By The Ocean,DNCE,dance pop,2016,DNCE,219,1042110743
Don't Let Me Down,The Chainsmokers,electropop,2016,Don't Let Me Down,208,1410302481
In the Name of Love,Martin Garrix,big room,2016,In the Name of Love,196,1031841447
Into You,Ariana Grande,dance pop,2016,Dangerous Woman,244,877517552
This Is What You Came For,Calvin Harris,dance pop,2016,This Is What You Came For,222,1129049638
Million Reasons,Lady Gaga,dance pop,2016,Joanne ,205,523748721
Needed Me,Rihanna,barbadian pop,2016,ANTI ,192,892990739
7 Years,Lukas Graham,danish pop,2016,Lukas Graham,237,1227690918
CAN'T STOP THE FEELING!,Justin Timberlake,dance pop,2016,CAN'T STOP THE FEELING! ,236,1214084290
Work from Home ,Fifth Harmony,dance pop,2016,27-Jul,214,1109689765
Scars To Your Beautiful,Alessia Cara,canadian contemporary r&b,2016,Know-It-All ,230,866116583
Like I'm Gonna Lose You ,Meghan Trainor,dance pop,2016,Title ,225,683481539
Work,Rihanna,barbadian pop,2016,ANTI ,219,1031512190
Stitches,Shawn Mendes,canadian pop,2016,Handwritten,207,1203368340
"Me, Myself & I",G-Eazy,hip hop,2016,When It's Dark Out,251,951287317
I Took A Pill In Ibiza ,Mike Posner,dance pop,2016,"At Night, Alone.",198,1375886617
Dangerous Woman,Ariana Grande,dance pop,2016,Dangerous Woman,236,664565696
Starving,Hailee Steinfeld,dance pop,2016,Starving,182,947083750
Shout Out to My Ex,Little Mix,dance pop,2016,Glory Days ,246,511029907
Electric Love,BØRNS,electropop,2016,Dopamine,218,512705725
